CATSPER2	OMIM:612997
CAV1	OMIM:606721
CAV1	OMIM:612526
CAV1	OMIM:615343
CAV3	OMIM:123320
CAV3	OMIM:192600
CAV3	OMIM:606072
CAV3	OMIM:611818
CAV3	OMIM:614321
CAVIN1	OMIM:613327
CBFB	OMIM:601626
CBLIF	OMIM:261000
CBL	OMIM:607785
CBL	OMIM:613563
CBS	OMIM:236200
CBX2	OMIM:613080
CC2D1A	OMIM:608443
CC2D2A	OMIM:612284
CC2D2A	OMIM:612285
CC2D2A	OMIM:619111
CCBE1	OMIM:235510
CCDC103	OMIM:614679
CCDC115	OMIM:616828
CCDC141	OMIM:146110
CCDC174	OMIM:616816
CCDC22	OMIM:300963
CCDC28B	OMIM:209900
CCDC32	OMIM:619123
CCDC39	OMIM:613807
CCDC40	OMIM:613808
CCDC47	OMIM:618268
CCDC50	OMIM:607453
CCDC65	OMIM:615504
CCDC78	OMIM:614807
CCDC88A	OMIM:617507
CCDC88C	OMIM:236600
CCDC88C	OMIM:616053
CCDC8	OMIM:614205
CCL11	OMIM:600807
CCL2	OMIM:182940
CCM2	OMIM:603284
CCN6	OMIM:208230
CCND1	OMIM:114500
CCND1	OMIM:193300
CCND1	OMIM:254500
CCND2	OMIM:615938
CCNF	OMIM:619141
CCNK	OMIM:618147
CCNO	OMIM:615872
CCNQ	OMIM:300707
CCT5	OMIM:256840
CD151	OMIM:609057
CD164	OMIM:616969
CD19	OMIM:240500
CD19	OMIM:613493
CD244	OMIM:180300
CD247	OMIM:610163
CD27	OMIM:615122
CD2AP	OMIM:607832
CD320	OMIM:613646
CD36	OMIM:608404
CD3D	OMIM:615617
CD3E	OMIM:615615
CD3G	OMIM:615607
CD40LG	OMIM:308230
CD40	OMIM:606843
CD46	OMIM:612922
CD4	OMIM:613949
CD4	OMIM:619238
CD55	OMIM:226300
CD59	OMIM:612300
CD70	OMIM:618261
CD79A	OMIM:613501
CD79B	OMIM:612692
CD81	OMIM:613496
CD8A	OMIM:608957
CD96	OMIM:211750
CDAN1	OMIM:224120
CDC14A	OMIM:608653
CDC40	OMIM:619302
CDC42	OMIM:616737
CDC45	OMIM:617063
CDC6	OMIM:613805
CDC73	OMIM:145000
CDC73	OMIM:145001
CDC73	OMIM:608266
CDCA7	OMIM:616910
CDH11	OMIM:211380
CDH15	OMIM:612580
CDH1	OMIM:114480
CDH1	OMIM:119580
CDH1	OMIM:137215
CDH1	OMIM:167000
CDH1	OMIM:176807
CDH1	OMIM:608089
CDH23	OMIM:601067
CDH23	OMIM:601386
CDH23	OMIM:617540
CDH2	OMIM:618920
CDH2	OMIM:618929
CDH3	OMIM:225280
CDH3	OMIM:601553
CDHR1	OMIM:613660
CDIN1	OMIM:615631
CDK10	OMIM:617694
CDK13	OMIM:617360
CDK19	OMIM:618916
CDK4	OMIM:609048
CDK5	OMIM:616342
CDK5RAP2	OMIM:604804
CDK6	OMIM:616080
CDK8	OMIM:618748
CDKL5	OMIM:300672
CDKN1B	OMIM:610755
CDKN1C	OMIM:130650
CDKN1C	OMIM:614732
CDKN2A	OMIM:155601
CDKN2A	OMIM:155755
CDKN2A	OMIM:606719
CDON	OMIM:614226
CDSN	OMIM:146520
CDSN	OMIM:270300
CDT1	OMIM:613804
CDY1	OMIM:415000
CDY2A	OMIM:415000
CEACAM16	OMIM:614614
CEACAM16	OMIM:618410
CEBPA	OMIM:601626
CEBPE	OMIM:245480
CELA2A	OMIM:618620
CELF2	OMIM:619561
CEL	OMIM:609812
CELSR1	OMIM:619319
CENPE	OMIM:616051
CENPF	OMIM:243605
CENPJ	OMIM:608393
CENPJ	OMIM:613676
CENPT	OMIM:618702
CEP104	OMIM:616781
CEP112	OMIM:619044
CEP120	OMIM:616300
CEP120	OMIM:617761
CEP135	OMIM:614673
CEP152	OMIM:613823
CEP152	OMIM:614852
CEP164	OMIM:614845
CEP19	OMIM:615703
CEP250	OMIM:618358
CEP290	OMIM:610188
CEP290	OMIM:610189
CEP290	OMIM:611134
CEP290	OMIM:611755
CEP290	OMIM:615991
CEP41	OMIM:614464
CEP55	OMIM:236500
CEP57	OMIM:614114
CEP63	OMIM:614728
CEP78	OMIM:617236
CEP83	OMIM:615862
CEP85L	OMIM:618873
CERKL	OMIM:608380
CERS1	OMIM:616230
CERS3	OMIM:615023
CERT1	OMIM:616351
CES1	OMIM:618057
CFAP251	OMIM:618152
CFAP298	OMIM:615500
CFAP300	OMIM:618063
CFAP410	OMIM:602271
CFAP410	OMIM:617547
CFAP418	OMIM:268000
CFAP418	OMIM:614500
CFAP418	OMIM:617406
CFAP43	OMIM:236690
CFAP43	OMIM:617592
CFAP44	OMIM:617593
CFAP45	OMIM:619608
CFAP47	OMIM:301059
CFAP52	OMIM:619607
CFAP53	OMIM:614779
CFAP58	OMIM:619144
CFAP65	OMIM:618664
CFAP69	OMIM:617959
CFAP70	OMIM:618670
CFAP91	OMIM:619177
CFB	OMIM:612924
CFB	OMIM:615561
CFC1	OMIM:605376
CFD	OMIM:613912
CFH	OMIM:126700
CFH	OMIM:235400
CFH	OMIM:609814
CFH	OMIM:610698
CFHR1	OMIM:235400
CFHR1	OMIM:603075
CFHR3	OMIM:235400
CFHR3	OMIM:603075
CFHR5	OMIM:614809
CFI	OMIM:610984
CFI	OMIM:612923
CFI	OMIM:615439
CFL2	OMIM:610687
