Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014801	Alitretinoin	D000077556	5300-03-8	CBX3	11335	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	CCL2	6347	Homo sapiens	9606	21268089
d014801	Alitretinoin	D000077556	5300-03-8	CCNA2	890	Homo sapiens	9606	11348869
d014801	Alitretinoin	D000077556	5300-03-8	CCND3	896	Homo sapiens	9606	16273314
d014801	Alitretinoin	D000077556	5300-03-8	CCR2	729230	Homo sapiens	9606	16712875
d014801	Alitretinoin	D000077556	5300-03-8	CCR3	1232	Homo sapiens	9606	16712875
d014801	Alitretinoin	D000077556	5300-03-8	CCR7	1236	Homo sapiens	9606	17475839
d014801	Alitretinoin	D000077556	5300-03-8	CD1A	909	Homo sapiens	9606	17475839
d014801	Alitretinoin	D000077556	5300-03-8	CD36	948	Homo sapiens	9606	17475839
d014801	Alitretinoin	D000077556	5300-03-8	CD38	952	Homo sapiens	9606	15964820|21393419
d014801	Alitretinoin	D000077556	5300-03-8	CD80	941	Homo sapiens	9606	17475839
d014801	Alitretinoin	D000077556	5300-03-8	CD83	9308	Homo sapiens	9606	17475839
d014801	Alitretinoin	D000077556	5300-03-8	CD86	942	Homo sapiens	9606	17475839
d014801	Alitretinoin	D000077556	5300-03-8	CDH1	999	Homo sapiens	9606	17034753
d014801	Alitretinoin	D000077556	5300-03-8	CDKN1A	1026	Homo sapiens	9606	16340750
d014801	Alitretinoin	D000077556	5300-03-8	CDKN1B	1027	Homo sapiens	9606	11348869|16340750
d014801	Alitretinoin	D000077556	5300-03-8	CDKN1C	1028	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	CETP	1071	Homo sapiens	9606	16142410
d014801	Alitretinoin	D000077556	5300-03-8	CGB3	1082	Homo sapiens	9606	15941851
d014801	Alitretinoin	D000077556	5300-03-8	CIITA	4261	Homo sapiens	9606	17229644
d014801	Alitretinoin	D000077556	5300-03-8	COL17A1	1308	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	COL1A1	1277	Homo sapiens	9606	17034753
d014801	Alitretinoin	D000077556	5300-03-8	COL4A2	1284	Homo sapiens	9606	17034753
d014801	Alitretinoin	D000077556	5300-03-8	COL6A1	1291	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	COL8A2	1296	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	CRABP1	1381	Homo sapiens	9606	16254461
d014801	Alitretinoin	D000077556	5300-03-8	CRABP2	1382	Homo sapiens	9606	11214822|17034753
d014801	Alitretinoin	D000077556	5300-03-8	CREB1	1385	Homo sapiens	9606	16280361
d014801	Alitretinoin	D000077556	5300-03-8	CXCL1	2919	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	CYP19A1	1588	Homo sapiens	9606	15941851|16357189
d014801	Alitretinoin	D000077556	5300-03-8	CYP26A1	1592	Homo sapiens	9606	16194896
d014801	Alitretinoin	D000077556	5300-03-8	CYP26C1	340665	Homo sapiens	9606	14532297|21906690
d014801	Alitretinoin	D000077556	5300-03-8	CYP27A1	1593	Homo sapiens	9606	15964820|15982314
d014801	Alitretinoin	D000077556	5300-03-8	CYP2B6	1555	Homo sapiens	9606	31312845
d014801	Alitretinoin	D000077556	5300-03-8	CYP3A4	1576	Homo sapiens	9606	16632523|19686701
d014801	Alitretinoin	D000077556	5300-03-8	CYP3A7	1551	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	CYP4F11	57834	Homo sapiens	9606	19812349
d014801	Alitretinoin	D000077556	5300-03-8	DHRS9	10170	Homo sapiens	9606	11304534
d014801	Alitretinoin	D000077556	5300-03-8	DIO3	1735	Homo sapiens	9606	16935842
d014801	Alitretinoin	D000077556	5300-03-8	DNMT1	1786	Homo sapiens	9606	34303791
d014801	Alitretinoin	D000077556	5300-03-8	DNMT3A	1788	Homo sapiens	9606	34303791
d014801	Alitretinoin	D000077556	5300-03-8	DSC1	1823	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	DUSP10	11221	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	DUSP11	8446	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	EGFR	1956	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	EIF4EBP2	1979	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	EMP1	2012	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	ESR1	2099	Homo sapiens	9606	19340624
d014801	Alitretinoin	D000077556	5300-03-8	ESR2	2100	Homo sapiens	9606	19340624
d014801	Alitretinoin	D000077556	5300-03-8	FABP5	2171	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	FAM3C	10447	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	FAS	355	Homo sapiens	9606	16712844|17034753
d014801	Alitretinoin	D000077556	5300-03-8	FASN	2194	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	FASTK	10922	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	FGF1	2246	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	FLG	2312	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	FN1	2335	Homo sapiens	9606	11139446
d014801	Alitretinoin	D000077556	5300-03-8	FOXA1	3169	Homo sapiens	9606	17034753
d014801	Alitretinoin	D000077556	5300-03-8	G6PD	2539	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	GAPDH	2597	Homo sapiens	9606	28886987
d014801	Alitretinoin	D000077556	5300-03-8	GATA6	2627	Homo sapiens	9606	17034753
d014801	Alitretinoin	D000077556	5300-03-8	GBA1	2629	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	GDF15	9518	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	GDF2	2658	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	GLUL	2752	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	GPX2	2877	Homo sapiens	9606	15623509
d014801	Alitretinoin	D000077556	5300-03-8	GRB7	2886	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	GSTM1	2944	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	H3-4	8290	Homo sapiens	9606	15964820
d014801	Alitretinoin	D000077556	5300-03-8	H4C16	121504	Homo sapiens	9606	15964820
d014801	Alitretinoin	D000077556	5300-03-8	HBEGF	1839	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	HGF	3082	Homo sapiens	9606	11223164|16192631
d014801	Alitretinoin	D000077556	5300-03-8	HNRNPA2B1	3181	Homo sapiens	9606	28886987
d014801	Alitretinoin	D000077556	5300-03-8	HSD11B1	3290	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	HSD17B1	3292	Homo sapiens	9606	16513093
d014801	Alitretinoin	D000077556	5300-03-8	IFNG	3458	Homo sapiens	9606	17118196|21268089
d014801	Alitretinoin	D000077556	5300-03-8	IFNGR1	3459	Homo sapiens	9606	16085646
d014801	Alitretinoin	D000077556	5300-03-8	IGF1	3479	Homo sapiens	9606	15982314|15994153
d014801	Alitretinoin	D000077556	5300-03-8	IGFBP3	3486	Homo sapiens	9606	15994153|16760641
d014801	Alitretinoin	D000077556	5300-03-8	IL10RA	3587	Homo sapiens	9606	15982314
