GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
MEX3D	18	False	False
BCL2L11	18	False	False
PAX1	19	True	False
MEOX1	19	True	False
ALOX5	19	False	False
ALOX5AP	19	True	False
NEIL2	19	False	False
LTC4S	19	False	False
MGST1	19	True	False
PAGE3	19	False	False
KLRC2	20	False	False
FBP1	20	True	False
DNAAF5	20	False	False
ZBTB16	20	True	False
ADAMTS4	20	False	False
CIDEA	20	True	False
ASL	20	True	False
OVGP1	20	False	False
MCUB	20	True	False
COQ6	20	False	False
LMTK3	20	False	False
FBP2	20	False	False
MTDH	20	False	False
THNSL2	20	False	False
HMOX1	20	True	False
TUT1	20	False	False
GCSH	20	False	False
DPM1	20	False	False
IL32	20	False	False
