FAM98C	GTF2B
FAM98C	GRN
ZNF697	KRTAP10-3
ZNF697	KRTAP10-8
ZNF697	KRTAP10-9
ZNF697	KRTAP10-7
ZNF697	KRT40
ZNF697	HTT
BPESC1	HTT
BPESC1	GRN
TRNT1	GRN
DLK1	GAS1
DLK1	GRN
PCSK7	JPH3
PCSK7	SERPINH1
PCSK7	TGFBR2
PCSK7	KLK6
PCSK7	PECAM1
PCSK7	NDUFV2
PCSK7	GFAP
GATM	WDR88
GATM	SIRPG
GATM	COMMD10
GATM	EIF2B4
GATM	TNFAIP1
CCDC26	BANP
CCDC26	KRTAP10-9
CCDC26	KRTAP10-7
CCDC26	BRK1
TMEM185A	AGT
TMEM185A	VHL
TMEM185A	NDUFB10
TMEM185A	KLKB1
TMEM185A	HSF1
TMEM185A	GRB2
TMEM185A	GATM
TMEM185A	FOS
DPP9	COL26A1
DPP9	EEF1D
DPP9	DR1
DPP9	OPTN
DPP9	DNAJB6
DPP9	NUP58
DPP9	GTF3C3
DPP9	KLF11
DPP9	BAG6
DPP9	DNALI1
DPP9	BRK1
DPP9	UQCRB
DPP9	SRP9
DPP9	SNRPB
DPP9	ST3GAL3
DPP9	TARDBP
DPP9	PRDX1
DPP9	FMR1
SPPL2B	RNF11
SPPL2B	KIF1B
SPPL2B	EEF1D
SPPL2B	DR1
SPPL2B	GTF3C3
SPPL2B	BRK1
SPPL2B	PRPS1
SPPL2B	PRKN
SPPL2B	HSPB1
SPPL2B	GTF2B
SPPL2B	SNCA
SPPL2B	FMR1
MME	APP
MME	FMR1
C17orf80	PIAS4
C17orf80	MYG1
GUSBP1	TP53
GUSBP1	CHAT
GUSBP1	ADRB2
GUSBP1	SPRED1
GUSBP1	FGFR3
RIMKLA	HTT
LINC00518	UBQLN1
LINC00518	CASP6
LINC00518	RAN
LINC00518	ATXN1
LINC00518	LAMP2
LINC00518	HTT
TMEM61	UBQLN1
TMEM61	RNF11
TMEM61	ADRB2
TMEM61	SARS1
TMEM61	HSPA2
TMEM61	GRN
LONRF2	SPRED1
LONRF2	PRPF40A
LONRF2	CYCS
LONRF2	CASP6
LONRF2	TARDBP
LONRF2	LAMP2
LONRF2	HTT
LONRF2	FGFR3
THEM4	SPRED1
THEM4	VIM
THEM4	PECAM1
THEM4	HRAS
THEM4	FGFR3
DSCC1	UBQLN1
LHX5	LMO3
LHX5	PEX26
LHX5	PRPF40A
LHX5	UBQLN1
LHX5	CCK
LHX5	CASP6
LHX5	UQCRC2
LHX5	RAN
LHX5	PPIB
LHX5	LAMP2
LHX5	HTT
LHX5	SNCA
TBCC	CHAT
ZHX1-C8orf76	ZDHHC17
ZHX1-C8orf76	DYNC1H1
ZHX1-C8orf76	DLST
ZHX1-C8orf76	CALR
ZHX1-C8orf76	ANXA1
ZHX1-C8orf76	PAK1
ZHX1-C8orf76	HTT
NETO2	UBQLN1
NETO2	ELAVL4
METTL7A	LMO3
METTL7A	ATXN3
METTL7A	ELAVL4
RNF112	PEX26
RNF112	TARDBP
RNF112	ATXN1
RNF112	HTT
RNF112	SNCA
RNF112	APP
RNF112	SOD1
ELAVL2	RBFOX2
ELAVL2	NR2E3
ELAVL2	HOXC9
ELAVL2	HNRNPAB
TSPAN5	CREB3
TBC1D16	KRTAP10-8
TBC1D16	KRTAP10-9
TBC1D16	KRT40
CRISP2	CREB3
DHX29	PISD
DHX29	CENPT
HPF1	ITGB3BP
CACNA2D3	TCOF1
SYCP1	HSPA5
ELP4	BAZ2A
SLC43A3	WNK2
CC2D2B	RALGDS
GOLGA8DP	CDC5L
GOLGA8DP	ADAMTSL4
GOLGA8DP	EPS8
GOLGA8DP	KRTAP10-7
GOLGA8DP	KRTAP10-5
GOLGA8DP	GOSR2
GOLGA8DP	CEP55
GOLGA8DP	MEOX2
GOLGA8DP	PDE4D
GOLGA8DP	HDDC3
CPA3	H1-10
CCDC77	DDX46
EIF3CL	H1-5
EIF3CL	EIF3H
IL17B	ENO2
HECW2	HNRNPD
KCNH3	LRRC59
RRP36	LINC00471
PEBP4	HNRNPM
TGIF2	H3-4
DPP8	STX1A
NOA1	COL9A2
NOA1	DCTPP1
NOA1	WDR18
NOA1	AIFM1
NOA1	NFU1
NOA1	H1-0
NOA1	ABCF3
NOA1	ABCB8
PRG2	PPP1R9A
SLC25A25	PLEC
CCDC86	CCDC102B
CCDC86	MRTO4
NCAPD3	TEKT1
NCAPD3	PRSS23
ABHD12B	SH3GLB1
ABHD12B	LAMP2
EVC	UBTF
OSBPL6	KLF11
KDM6B	TK1
SMIM15	PBX4
BCAT2	CREB3
BCAT2	PTGDS
BCAT2	PEA15
VNN2	LMO3
VNN2	KAT5
VNN2	PRKCA
H1-8	RPL22
STT3A	CSDE1
STT3A	ITM2C
