EIF3CL	EIF3G
EIF3CL	EIF3E
EIF3CL	EIF3D
NRSN2	PODXL2
MEX3B	SACS
ENPP6	SACS
ENPP6	MEX3B
CRLF3	DIAPH3
CRLF3	SACS
CRLF3	MEX3B
CRLF3	ENPP6
MOCS1	MTG2
MOCS1	TRMT2B
MOCS1	PDSS2
MOCS1	OXLD1
PLCD1	PYHIN1
CHAMP1	POGZ
SGCZ	SP3
RANGRF	SP3
RANGRF	SGCZ
RSAD1	WDR53
PKN3	WDR6
PKN3	PLEKHH3
DIP2A	WDR6
DIP2A	PLEKHH3
DIP2A	PKN3
DIP2A	PIK3R3
DIP2A	PIK3R2
DIP2A	PIK3R1
DIP2A	PIK3CD
DIP2A	PIK3CB
DIP2A	PIK3CA
DIP2A	NYAP2
TMEM205	TMEM52B
RHBDF2	TMEM52B
RHBDF2	TMEM205
CASTOR2	ZC2HC1A
CASTOR1	ZC2HC1A
CASTOR1	CASTOR2
S100B	S100P
S100A4	S100P
S100A4	S100B
FOXR2	SIM2
FOXR2	MYC
NEK4	SERAC1
NEUROG2	SRP9
MYO1B	TPM1
MYO1B	SYNPO
MYO1B	PPP1CB
CPM	SYNPO
CPM	PPP1CB
CPM	MYO1B
CALML3	SYNPO
CALML3	PPP1CB
CALML3	MYO1B
CALML3	CPM
ACTRT1	SYNPO
ACTRT1	PPP1CB
ACTRT1	MYO1B
ACTRT1	CPM
ACTRT1	CALML3
SLC22A23	SLC36A1
SLC1A1	SLC36A1
SLC1A1	SLC22A23
C1orf159	SLC36A1
C1orf159	SLC22A23
C1orf159	SLC1A1
C1orf159	SLC17A5
C1orf159	LRRC4B
C1orf159	LGALS8
C1orf159	ITGA2
C1orf159	ITGA1
C1orf159	CLCN5
GORAB	RAPGEF1
GORAB	PRAG1
ZNF646	ZNF845
ZNF408	ZNF845
ZNF408	ZNF646
ZNF408	ZNF445
PWWP2A	ZNF845
PWWP2A	ZNF646
PWWP2A	ZNF445
PWWP2A	ZNF408
PWWP2A	ZBTB21
PWWP2A	SET
PWWP2A	REPIN1
FAM111B	ZNF845
FAM111B	ZNF646
FAM111B	ZNF445
FAM111B	ZNF408
FAM111B	ZBTB21
FAM111B	SET
FAM111B	REPIN1
FAM111B	PWWP2A
FAM111B	MEN1
FAM111B	IKZF5
C14orf93	ZNF845
C14orf93	ZNF646
